accTradePrice,accTradeVolume,change,changePrice,date,foreignStraightPurchasePrice,individualStraightPurchasePrice,institutionStraightPurchasePrice,tradePrice
1415097,180753,FALL,8.74,2019-07-03 00:00:00,-51579856319,25435352963,28986343951,2113.28
4107541,460830,FALL,7.72,2019-07-02 00:00:00,34321459071,24006908061,-51500525649,2122.02
4730192,412291,FALL,0.88,2019-07-01 00:00:00,154486503785,-19121687014,6138187770,2129.74
4282404,537274,FALL,3.7,2019-06-28 00:00:00,312263760802,-199483658718,-109684798220,2130.62
5122462,644900,RISE,12.47,2019-06-27 00:00:00,155887532000,-405768338937,267089212849,2134.32
4455865,736851,RISE,0.21,2019-06-26 00:00:00,16452829619,-73635556218,60969038311,2121.85
4249731,642999,FALL,4.69,2019-06-25 00:00:00,27387982,-21135872689,8844220728,2121.64
4054920,669639,RISE,0.71,2019-06-24 00:00:00,-99250349566,-72774648738,163711527766,2126.33
5226303,692027,FALL,5.67,2019-06-21 00:00:00,13280881909,118735540006,-130936554570,2125.62
3994784,1007158,RISE,6.51,2019-06-20 00:00:00,-18322575414,-148542907457,164450625338,2131.29
4984533,862980,RISE,26.07,2019-06-19 00:00:00,300430954174,-460489624085,169276816225,2124.78
4579592,600964,RISE,7.98,2019-06-18 00:00:00,261816928364,-129501534187,86891545505,2098.71
4255706,561550,FALL,4.68,2019-06-17 00:00:00,-150088594638,7838261537,140374240557,2090.73
4716415,473370,FALL,7.74,2019-06-14 00:00:00,-69368483603,157690404429,-92172949183,2095.41
5998223,553393,FALL,5.6,2019-06-13 00:00:00,-165712563303,131707587548,51511213419,2103.15
4661009,693507,FALL,3.06,2019-06-12 00:00:00,-2329064115,-96265719945,101634418700,2108.75
4276695,550740,RISE,12.32,2019-06-11 00:00:00,69234514513,-266518306801,203477891603,2111.81
4214043,457640,RISE,27.16,2019-06-10 00:00:00,181865828210,-338433585668,167291422679,2099.49
4347351,368392,RISE,3.22,2019-06-07 00:00:00,-33318062866,-40059895436,65786514521,2072.33
4506227,380156,RISE,2.14,2019-06-05 00:00:00,-155874527876,56665914597,98474923591,2069.11
4841760,435991,FALL,0.88,2019-06-04 00:00:00,-200164967877,3220039078,193534502808,2066.97
4640456,387145,RISE,26.11,2019-06-03 00:00:00,291395679762,-193325346081,-98572540911,2067.85
5039081,439181,RISE,2.94,2019-05-31 00:00:00,206222820885,-61281395162,-146046289829,2041.74
4978843,461850,RISE,15.48,2019-05-30 00:00:00,48406606231,-72021362520,21685375521,2038.8
4686652,380893,FALL,25.51,2019-05-29 00:00:00,-381531585556,193190514658,192717021057,2023.32
8080272,494478,RISE,4.62,2019-05-28 00:00:00,-719057497035,119853124842,622718543279,2048.83
3506626,351616,FALL,1.1,2019-05-27 00:00:00,-193988659151,22898140761,171052827451,2044.21
4581385,480647,FALL,14.28,2019-05-24 00:00:00,-310212212215,-1257024852,306930149255,2045.31
4819255,509268,FALL,5.27,2019-05-23 00:00:00,80916106150,14972454518,-96210990635,2059.59
4637965,509974,RISE,3.61,2019-05-22 00:00:00,5300903349,72815872315,-92457360141,2064.86
5272368,526858,RISE,5.54,2019-05-21 00:00:00,74360892295,-9482432039,-73025766952,2061.25
4889671,640195,FALL,0.09,2019-05-20 00:00:00,-17762882496,37013119336,9568855074,2055.71
5378895,537380,FALL,11.89,2019-05-17 00:00:00,-199417320948,182498070316,4245963256,2055.8
6042439,745164,FALL,25.09,2019-05-16 00:00:00,-467905856517,411406769493,36705210008,2067.69
5052873,577794,RISE,10.94,2019-05-15 00:00:00,-77646339392,108230917953,-48430506945,2092.78
5865911,696195,RISE,2.83,2019-05-14 00:00:00,-285078154873,-60314280562,336784716653,2081.84
4601110,505750,FALL,29.03,2019-05-13 00:00:00,-137329399592,258103306140,-131377958377,2079.01
6407849,714766,RISE,6.03,2019-05-10 00:00:00,-322345918362,296859762301,1311518506,2108.04
8236437,743506,FALL,66.0,2019-05-09 00:00:00,-201507722282,815694210535,-646501775948,2102.01
5170590,456333,FALL,8.98,2019-05-08 00:00:00,8971530080,49273241101,-63134781086,2168.01
5467056,484097,FALL,19.33,2019-05-07 00:00:00,202645322790,282298936839,-478652894928,2176.99
5297907,617877,FALL,16.43,2019-05-03 00:00:00,152121718314,241687569701,-407528974046,2196.32
5026634,369059,RISE,9.16,2019-05-02 00:00:00,68075725901,-102498649019,17008115424,2212.75
5697107,381413,FALL,12.84,2019-04-30 00:00:00,42947077654,11873487785,-57260258409,2203.59
4985905,380823,RISE,37.12,2019-04-29 00:00:00,2993104677,-283315530073,278467331316,2216.43
5346145,570172,FALL,11.19,2019-04-26 00:00:00,35494453987,140108495541,-184407081264,2179.31
5610697,441137,FALL,10.53,2019-04-25 00:00:00,-16463182533,62920883969,-44641373862,2190.5
6342430,575099,FALL,19.48,2019-04-24 00:00:00,23034738836,403028594977,-421394870096,2201.03
4922937,481177,RISE,3.86,2019-04-23 00:00:00,40678552070,18049645895,-70749670286,2220.51
4639971,493984,RISE,0.5,2019-04-22 00:00:00,-18622408526,70187801687,-50248894428,2216.65
4965672,525263,RISE,2.38,2019-04-19 00:00:00,-56699188826,17773810717,35110638501,2216.15
6501103,573343,FALL,32.12,2019-04-18 00:00:00,-132046178719,295948651490,-129047839794,2213.77
5586183,452474,FALL,2.74,2019-04-17 00:00:00,75629794263,-58901374367,1430687865,2245.89
7083490,569056,RISE,5.75,2019-04-16 00:00:00,152726915563,-94868400197,-53930385890,2248.63
6668128,404160,RISE,9.43,2019-04-15 00:00:00,178112279612,46570721080,-218897655932,2242.88
6098417,449634,RISE,9.01,2019-04-12 00:00:00,244644342119,-165725108045,-55843655377,2233.45
6022086,402016,RISE,0.05,2019-04-11 00:00:00,320810018251,-151212427472,-160584461009,2224.44
5135093,399694,RISE,10.83,2019-04-10 00:00:00,-3263701331,-227976572662,233451456344,2224.39
4904129,414809,RISE,2.96,2019-04-09 00:00:00,208962853800,-174029817368,-33162736361,2213.56
4660047,347910,RISE,0.99,2019-04-08 00:00:00,273084340534,-118114575698,-156559329796,2210.6
4215786,517153,RISE,3.08,2019-04-05 00:00:00,99629969828,-154424383825,61566930966,2209.61
4857554,431013,RISE,3.26,2019-04-04 00:00:00,244857022773,-379675421091,137828261411,2206.53
5466968,358644,RISE,26.09,2019-04-03 00:00:00,143111292991,-464376579788,200828177419,2203.27
4247457,257453,RISE,8.9,2019-04-02 00:00:00,273406478933,-103600430646,-150581917969,2177.18
4365111,263312,RISE,27.61,2019-04-01 00:00:00,249088851263,-438066169858,184589671919,2168.28
5248941,364618,RISE,12.57,2019-03-29 00:00:00,89041649012,-156006725386,59696632751,2140.67
4403905,288036,FALL,17.52,2019-03-28 00:00:00,-13904251094,83696655492,-83176888246,2128.1
4490155,363169,FALL,3.18,2019-03-27 00:00:00,-156137630355,19189157579,120182884108,2145.62
4248900,301253,RISE,3.94,2019-03-26 00:00:00,37396934512,155665665386,-191513709988,2148.8
4136472,307071,FALL,42.09,2019-03-25 00:00:00,-70853127031,269204398460,-219094912901,2144.86
6881722,333617,RISE,2.07,2019-03-22 00:00:00,501319850079,47138478352,-561768759655,2186.95
6229925,342747,RISE,7.78,2019-03-21 00:00:00,484065339759,-326383527941,-151526567122,2184.88
4175741,317606,FALL,0.52,2019-03-20 00:00:00,-123654088780,85576985458,38732175899,2177.1
3867859,319702,FALL,1.87,2019-03-19 00:00:00,-12413032485,36930310648,-15797411779,2177.62
4093226,257951,RISE,3.38,2019-03-18 00:00:00,-48787769406,-186777269431,228677329333,2179.49
6821323,387135,RISE,20.43,2019-03-15 00:00:00,-134219016142,-496308808713,628388384084,2176.11
5882524,341009,RISE,7.27,2019-03-14 00:00:00,286699994288,141640536139,-434371391530,2155.68
4088450,285600,FALL,8.77,2019-03-13 00:00:00,100064556811,95657129720,-203107947266,2148.41
4222805,355282,RISE,19.08,2019-03-12 00:00:00,-2304218047,-22480661728,82392482069,2157.18
4077476,272103,RISE,0.66,2019-03-11 00:00:00,-179309876147,89359044451,16639730580,2138.1
4497331,313314,FALL,28.35,2019-03-08 00:00:00,-173863396395,293213295508,-127447461480,2137.44
4858918,292578,FALL,9.81,2019-03-07 00:00:00,397749809,110774668511,-112972757189,2165.79
4828088,328943,FALL,3.63,2019-03-06 00:00:00,5960479949,65444620090,-53182364884,2175.6
4980940,313145,FALL,11.43,2019-03-05 00:00:00,-157017695710,244352695932,-91932649815,2179.23
6405237,373166,FALL,4.78,2019-03-04 00:00:00,-131953894891,40328329456,76676527211,2190.66
8307295,510022,FALL,39.35,2019-02-28 00:00:00,-253615330622,-61784182288,316907947344,2195.44
4914612,301513,RISE,8.19,2019-02-27 00:00:00,-57281941122,-111560459992,151857839470,2234.79
5024237,331962,FALL,5.96,2019-02-26 00:00:00,52587149454,-29933232288,-11130391018,2226.6
4689860,339233,RISE,2.06,2019-02-25 00:00:00,-79616430722,9115915650,80275227515,2232.56
4645184,409310,RISE,1.84,2019-02-22 00:00:00,-4489698991,-34206063862,40129915874,2230.5
5480909,382510,FALL,1.1,2019-02-21 00:00:00,208350642084,-11715660173,-204832647512,2228.66
5948416,374342,RISE,24.13,2019-02-20 00:00:00,434537456972,-430005578127,-7622944609,2229.76
4534559,389093,FALL,5.26,2019-02-19 00:00:00,-7595622702,-138825492949,141943794647,2205.63
4668186,314370,RISE,14.8,2019-02-18 00:00:00,45572631937,-324089726464,266392639430,2210.89
5097630,400591,FALL,29.76,2019-02-15 00:00:00,-177735141507,198483974390,-44941294626,2196.09
6426022,573362,RISE,24.37,2019-02-14 00:00:00,-47598481932,-192622047092,242683671125,2225.85
5585494,421989,RISE,11.01,2019-02-13 00:00:00,-30643242333,-126050958059,134305305447,2201.48
5929463,429940,RISE,9.74,2019-02-12 00:00:00,-37530351094,-14710983697,46887464654,2190.47
5327610,406059,RISE,3.68,2019-02-11 00:00:00,-57340663493,115581612435,-73260074148,2180.73
5728529,391029,FALL,26.37,2019-02-08 00:00:00,-280259032809,331271999382,-72546332158,2177.05
